0,1,2,3,4,5,6,7,8,9,10
pickled vegetables,frozen vegetables,,,,,,,,,
sausage,sauces,,,,,,,,,
pork,curd,,,,,,,,,
whole milk,soda,,,,,,,,,
misc. beverages,long life bakery product,,,,,,,,,
chocolate,whipped/sour cream,baking powder,frozen vegetables,,,,,,,
yogurt,bottled beer,,,,,,,,,
newspapers,chewing gum,,,,,,,,,
hair spray,chocolate,rolls/buns,,,,,,,,
liquor,bottled beer,other vegetables,,,,,,,,
misc. beverages,coffee,,,,,,,,,
yogurt,yogurt,,,,,,,,,
other vegetables,margarine,,,,,,,,,
frankfurter,processed cheese,,,,,,,,,
herbs,root vegetables,,,,,,,,,
ham,citrus fruit,,,,,,,,,
specialty chocolate,other vegetables,,,,,,,,,
meat spreads,chocolate,,,,,,,,,
tropical fruit,root vegetables,,,,,,,,,
specialty chocolate,tropical fruit,,,,,,,,,
whole milk,spread cheese,popcorn,,,,,,,,
whole milk,fruit/vegetable juice,,,,,,,,,
berries,candy,,,,,,,,,
cream cheese ,salty snack,,,,,,,,,
brown bread,pet care,,,,,,,,,
fruit/vegetable juice,spices,,,,,,,,,
tropical fruit,root vegetables,,,,,,,,,
tropical fruit,soda,,,,,,,,,
soda,curd,,,,,,,,,
canned beer,flower soil/fertilizer,,,,,,,,,
frankfurter,rolls/buns,newspapers,waffles,,,,,,,
sugar,bottled beer,,,,,,,,,
cream cheese ,root vegetables,,,,,,,,,
rolls/buns,shopping bags,,,,,,,,,
tropical fruit,white bread,butter,,,,,,,,
specialty fat,brandy,,,,,,,,,
rolls/buns,salty snack,salty snack,,,,,,,,
UHT-milk,whole milk,canned beer,,,,,,,,
whole milk,domestic eggs,canned vegetables,flower (seeds),,,,,,,
other vegetables,other vegetables,canned fish,chewing gum,,,,,,,
dessert,salty snack,,,,,,,,,
pastry,other vegetables,cake bar,,,,,,,,
tropical fruit,citrus fruit,domestic eggs,rolls/buns,,,,,,,
liquor,bathroom cleaner,,,,,,,,,
pickled vegetables,butter,,,,,,,,,
kitchen towels,shopping bags,,,,,,,,,
sliced cheese,frozen chicken,,,,,,,,,
bottled beer,fruit/vegetable juice,,,,,,,,,
canned fish,fruit/vegetable juice,,,,,,,,,
other vegetables,shopping bags,soda,,,,,,,,
frozen vegetables,tropical fruit,,,,,,,,,
bottled water,baking powder,UHT-milk,,,,,,,,
tropical fruit,soda,,,,,,,,,
long life bakery product,fruit/vegetable juice,,,,,,,,,
sugar,UHT-milk,margarine,,,,,,,,
tropical fruit,waffles,,,,,,,,,
root vegetables,fruit/vegetable juice,,,,,,,,,
tropical fruit,other vegetables,,,,,,,,,
tropical fruit,whole milk,,,,,,,,,
cat food,fruit/vegetable juice,,,,,,,,,
other vegetables,curd,yogurt,pudding powder,,,,,,,
white bread,bottled water,ready soups,curd,,,,,,,
whole milk,hard cheese,,,,,,,,,
whole milk,chocolate,rolls/buns,brown bread,,,,,,,
hamburger meat,canned beer,other vegetables,canned fruit,,,,,,,
chicken,pork,,,,,,,,,
tropical fruit,citrus fruit,,,,,,,,,
sausage,root vegetables,,,,,,,,,
sausage,frozen vegetables,,,,,,,,,
pork,butter,,,,,,,,,
frozen vegetables,whole milk,,,,,,,,,
citrus fruit,bottled water,,,,,,,,,
butter,hygiene articles,,,,,,,,,
soda,soda,salty snack,,,,,,,,
shopping bags,fruit/vegetable juice,,,,,,,,,
butter milk,soda,ham,bottled beer,detergent,,,,,,
rolls/buns,rum,,,,,,,,,
packaged fruit/vegetables,popcorn,,,,,,,,,
whipped/sour cream,whole milk,,,,,,,,,
other vegetables,spices,,,,,,,,,
canned beer,soda,,,,,,,,,
sausage,whole milk,,,,,,,,,
UHT-milk,fish,,,,,,,,,
white bread,frozen vegetables,,,,,,,,,
whole milk,newspapers,,,,,,,,,
sausage,onions,,,,,,,,,
grapes,long life bakery product,,,,,,,,,
ice cream,dishes,,,,,,,,,
UHT-milk,processed cheese,,,,,,,,,
other vegetables,other vegetables,,,,,,,,,
semi-finished bread,ketchup,,,,,,,,,
rolls/buns,curd cheese,,,,,,,,,
frankfurter,cream cheese ,,,,,,,,,
tropical fruit,white bread,,,,,,,,,
dishes,tropical fruit,,,,,,,,,
hamburger meat,root vegetables,,,,,,,,,
chicken,flower (seeds),,,,,,,,,
brown bread,grapes,bottled water,soda,,,,,,,
citrus fruit,other vegetables,,,,,,,,,
UHT-milk,curd,flower (seeds),,,,,,,,
sausage,canned beer,,,,,,,,,
other vegetables,tropical fruit,onions,cream cheese ,root vegetables,root vegetables,yogurt,,,,
fruit/vegetable juice,canned vegetables,,,,,,,,,
fruit/vegetable juice,herbs,dishes,,,,,,,,
whipped/sour cream,soft cheese,,,,,,,,,
chicken,dessert,,,,,,,,,
specialty chocolate,coffee,,,,,,,,,
chicken,soda,frozen meals,,,,,,,,
napkins,bottled water,,,,,,,,,
sweet spreads,berries,butter milk,pip fruit,soda,other vegetables,fruit/vegetable juice,whole milk,,,
butter milk,bottled water,,,,,,,,,
ice cream,red/blush wine,fruit/vegetable juice,,,,,,,,
fruit/vegetable juice,dessert,,,,,,,,,
flower (seeds),white wine,,,,,,,,,
citrus fruit,whole milk,bottled water,roll products ,,,,,,,
sausage,fruit/vegetable juice,,,,,,,,,
bottled water,whipped/sour cream,,,,,,,,,
bottled water,root vegetables,,,,,,,,,
margarine,bottled water,,,,,,,,,
whole milk,yogurt,,,,,,,,,
specialty chocolate,soft cheese,,,,,,,,,
UHT-milk,condensed milk,pastry,,,,,,,,
bottled water,root vegetables,bottled beer,pastry,,,,,,,
frankfurter,waffles,,,,,,,,,
berries,pip fruit,,,,,,,,,
rolls/buns,abrasive cleaner,,,,,,,,,
pork,soda,yogurt,,,,,,,,
citrus fruit,tropical fruit,,,,,,,,,
other vegetables,bottled water,baking powder,,,,,,,,
dessert,dental care,,,,,,,,,
whole milk,cat food,,,,,,,,,
beef,yogurt,,,,,,,,,
soda,mustard,,,,,,,,,
chocolate,whipped/sour cream,brown bread,,,,,,,,
other vegetables,whole milk,,,,,,,,,
long life bakery product,rolls/buns,,,,,,,,,
whole milk,newspapers,,,,,,,,,
soda,candy,,,,,,,,,
beef,onions,,,,,,,,,
chicken,coffee,newspapers,,,,,,,,
bottled water,coffee,curd,,,,,,,,
sugar,specialty bar,,,,,,,,,
whole milk,grapes,,,,,,,,,
pork,sliced cheese,,,,,,,,,
rice,chewing gum,rolls/buns,,,,,,,,
newspapers,canned beer,,,,,,,,,
berries,bottled beer,,,,,,,,,
finished products,newspapers,,,,,,,,,
other vegetables,butter,,,,,,,,,
other vegetables,UHT-milk,,,,,,,,,
citrus fruit,brown bread,candy,domestic eggs,,,,,,,
sausage,soda,,,,,,,,,
ham,whole milk,pastry,herbs,herbs,newspapers,chewing gum,whole milk,,,
bottled beer,brown bread,whole milk,misc. beverages,,,,,,,
sweet spreads,butter,,,,,,,,,
pork,whipped/sour cream,,,,,,,,,
curd,waffles,,,,,,,,,
chicken,soda,,,,,,,,,
meat,butter milk,,,,,,,,,
butter,condensed milk,,,,,,,,,
other vegetables,shopping bags,,,,,,,,,
sausage,canned vegetables,margarine,,,,,,,,
soda,root vegetables,,,,,,,,,
chicken,white bread,,,,,,,,,
pip fruit,whole milk,,,,,,,,,
root vegetables,white bread,,,,,,,,,
turkey,white bread,,,,,,,,,
soda,specialty chocolate,,,,,,,,,
frankfurter,onions,,,,,,,,,
chicken,rolls/buns,,,,,,,,,
other vegetables,whole milk,,,,,,,,,
tropical fruit,frozen dessert,napkins,,,,,,,,
frankfurter,hair spray,,,,,,,,,
sausage,other vegetables,shopping bags,napkins,,,,,,,
rum,coffee,sliced cheese,,,,,,,,
frozen vegetables,napkins,,,,,,,,,
herbs,newspapers,brown bread,,,,,,,,
butter,root vegetables,,,,,,,,,
ham,rolls/buns,flower (seeds),,,,,,,,
root vegetables,butter,,,,,,,,,
beef,finished products,,,,,,,,,
other vegetables,frozen vegetables,,,,,,,,,
bathroom cleaner,beverages,,,,,,,,,
coffee,sugar,,,,,,,,,
oil,other vegetables,,,,,,,,,
frankfurter,whole milk,red/blush wine,rolls/buns,,,,,,,
pot plants,yogurt,other vegetables,,,,,,,,
ham,whole milk,,,,,,,,,
meat,oil,,,,,,,,,
domestic eggs,napkins,,,,,,,,,
pastry,whole milk,,,,,,,,,
yogurt,frozen vegetables,,,,,,,,,
canned beer,salty snack,soda,,,,,,,,
pork,cereals,,,,,,,,,
beef,curd,,,,,,,,,
canned beer,yogurt,bottled water,,,,,,,,
turkey,long life bakery product,,,,,,,,,
beverages,pickled vegetables,,,,,,,,,
frozen fish,sausage,other vegetables,canned beer,yogurt,shopping bags,beverages,chewing gum,canned beer,,
rice,whipped/sour cream,,,,,,,,,
dessert,other vegetables,,,,,,,,,
berries,hygiene articles,,,,,,,,,
frankfurter,pip fruit,,,,,,,,,
canned fish,cat food,,,,,,,,,
other vegetables,frozen dessert,chewing gum,,,,,,,,
tidbits,whole milk,frozen vegetables,,,,,,,,
liqueur,whole milk,,,,,,,,,
beef,tea,,,,,,,,,
dessert,frozen vegetables,,,,,,,,,
finished products,newspapers,whipped/sour cream,,,,,,,,
other vegetables,yogurt,,,,,,,,,
cream cheese ,soda,,,,,,,,,
rolls/buns,rolls/buns,soft cheese,,,,,,,,
ham,rolls/buns,whole milk,rum,berries,cleaner,,,,,
root vegetables,yogurt,,,,,,,,,
rolls/buns,rolls/buns,,,,,,,,,
onions,ice cream,soda,sliced cheese,,,,,,,
white bread,mayonnaise,,,,,,,,,
dishes,other vegetables,pastry,,,,,,,,
pork,bottled water,,,,,,,,,
pasta,shopping bags,,,,,,,,,
softener,dish cleaner,,,,,,,,,
meat,butter milk,,,,,,,,,
dessert,pastry,,,,,,,,,
frozen meals,detergent,,,,,,,,,
pork,long life bakery product,,,,,,,,,
frozen vegetables,salty snack,,,,,,,,,
shopping bags,whole milk,,,,,,,,,
canned beer,whipped/sour cream,misc. beverages,,,,,,,,
tropical fruit,pip fruit,root vegetables,pet care,,,,,,,
tropical fruit,bottled water,,,,,,,,,
dessert,bottled water,,,,,,,,,
spread cheese,specialty chocolate,sugar,,,,,,,,
dessert,soda,,,,,,,,,
ice cream,pip fruit,root vegetables,rolls/buns,long life bakery product,,,,,,
shopping bags,soda,soups,,,,,,,,
sausage,dish cleaner,,,,,,,,,
whole milk,white bread,,,,,,,,,
potato products,waffles,newspapers,,,,,,,,
sausage,shopping bags,shopping bags,,,,,,,,
frankfurter,grapes,salt,napkins,soda,,,,,,
pip fruit,butter,,,,,,,,,
pork,napkins,,,,,,,,,
sliced cheese,margarine,,,,,,,,,
beef,curd,,,,,,,,,
whole milk,rolls/buns,,,,,,,,,
sausage,bottled beer,misc. beverages,,,,,,,,
meat,beverages,newspapers,candy,,,,,,,
butter,chewing gum,coffee,salty snack,,,,,,,
ham,roll products ,brown bread,,,,,,,,
rolls/buns,brown bread,,,,,,,,,
soda,yogurt,,,,,,,,,
hamburger meat,margarine,,,,,,,,,
zwieback,citrus fruit,,,,,,,,,
chocolate,pastry,butter,,,,,,,,
domestic eggs,softener,,,,,,,,,
abrasive cleaner,yogurt,frozen meals,,,,,,,,
other vegetables,condensed milk,,,,,,,,,
whole milk,pork,other vegetables,domestic eggs,,,,,,,
whipped/sour cream,rolls/buns,,,,,,,,,
finished products,liquor,,,,,,,,,
whole milk,whipped/sour cream,soda,,,,,,,,
tropical fruit,root vegetables,,,,,,,,,
onions,newspapers,,,,,,,,,
chicken,rolls/buns,,,,,,,,,
oil,chocolate,,,,,,,,,
tropical fruit,onions,whipped/sour cream,,,,,,,,
rolls/buns,yogurt,Instant food products,,,,,,,,
butter,bottled beer,,,,,,,,,
frozen vegetables,onions,,,,,,,,,
whole milk,instant coffee,whole milk,,,,,,,,
frankfurter,butter,bottled beer,,,,,,,,
condensed milk,whole milk,,,,,,,,,
whipped/sour cream,baking powder,,,,,,,,,
rolls/buns,whole milk,,,,,,,,,
packaged fruit/vegetables,liquor,shopping bags,,,,,,,,
beef,whipped/sour cream,,,,,,,,,
napkins,pastry,,,,,,,,,
liver loaf,canned beer,tropical fruit,canned vegetables,,,,,,,
margarine,detergent,yogurt,zwieback,,,,,,,
hamburger meat,whole milk,,,,,,,,,
meat,dessert,,,,,,,,,
processed cheese,specialty bar,,,,,,,,,
frankfurter,frankfurter,long life bakery product,newspapers,pip fruit,whipped/sour cream,hygiene articles,,,,
sausage,chocolate,,,,,,,,,
pip fruit,bottled beer,margarine,,,,,,,,
citrus fruit,other vegetables,brown bread,,,,,,,,
rolls/buns,yogurt,newspapers,,,,,,,,
hamburger meat,yogurt,,,,,,,,,
other vegetables,newspapers,,,,,,,,,
liver loaf,fruit/vegetable juice,,,,,,,,,
shopping bags,citrus fruit,whole milk,sliced cheese,,,,,,,
red/blush wine,cream cheese ,,,,,,,,,
citrus fruit,meat,,,,,,,,,
ham,chewing gum,frozen vegetables,,,,,,,,
meat,whole milk,processed cheese,butter,,,,,,,
sausage,domestic eggs,domestic eggs,,,,,,,,
frankfurter,frozen meals,dishes,,,,,,,,
UHT-milk,soft cheese,,,,,,,,,
whole milk,margarine,,,,,,,,,
rolls/buns,grapes,domestic eggs,,,,,,,,
coffee,soda,,,,,,,,,
ice cream,fruit/vegetable juice,,,,,,,,,
soft cheese,long life bakery product,,,,,,,,,
curd,dessert,cling film/bags,,,,,,,,
curd,soda,ice cream,,,,,,,,
pork,hamburger meat,,,,,,,,,
ice cream,flower (seeds),,,,,,,,,
canned beer,syrup,brown bread,rice,,,,,,,
berries,other vegetables,fruit/vegetable juice,whole milk,specialty bar,,,,,,
chicken,pastry,waffles,,,,,,,,
pot plants,spread cheese,butter milk,,,,,,,,
ham,whole milk,,,,,,,,,
hamburger meat,tropical fruit,cat food,whole milk,artif. sweetener,packaged fruit/vegetables,,,,,
roll products ,dishes,,,,,,,,,
root vegetables,processed cheese,yogurt,,,,,,,,
UHT-milk,rice,newspapers,,,,,,,,
frankfurter,grapes,,,,,,,,,
sausage,salad dressing,,,,,,,,,
rolls/buns,semi-finished bread,fruit/vegetable juice,,,,,,,,
canned beer,tropical fruit,pet care,,,,,,,,
whipped/sour cream,cream cheese ,,,,,,,,,
shopping bags,tropical fruit,,,,,,,,,
waffles,tropical fruit,hard cheese,pickled vegetables,,,,,,,
yogurt,brown bread,,,,,,,,,
bottled water,margarine,,,,,,,,,
sausage,coffee,pip fruit,tropical fruit,,,,,,,
beef,salt,,,,,,,,,
soda,pip fruit,pastry,jam,,,,,,,
ice cream,root vegetables,,,,,,,,,
other vegetables,shopping bags,other vegetables,,,,,,,,
brown bread,root vegetables,,,,,,,,,
yogurt,shopping bags,bottled water,,,,,,,,
fruit/vegetable juice,butter,brown bread,dental care,,,,,,,
tropical fruit,candy,fruit/vegetable juice,,,,,,,,
fruit/vegetable juice,fruit/vegetable juice,,,,,,,,,
butter milk,bottled beer,rice,canned vegetables,,,,,,,
other vegetables,yogurt,,,,,,,,,
pork,mustard,,,,,,,,,
frankfurter,sausage,pastry,newspapers,newspapers,honey,,,,,
fruit/vegetable juice,ice cream,,,,,,,,,
newspapers,long life bakery product,,,,,,,,,
whole milk,frozen potato products,,,,,,,,,
tropical fruit,UHT-milk,,,,,,,,,
sausage,sausage,tropical fruit,pip fruit,,,,,,,
frankfurter,pip fruit,,,,,,,,,
bottled beer,whole milk,bottled water,,,,,,,,
specialty bar,rolls/buns,processed cheese,,,,,,,,
whole milk,seasonal products,specialty fat,flour,,,,,,,
beef,berries,,,,,,,,,
root vegetables,tropical fruit,,,,,,,,,
white bread,butter,,,,,,,,,
grapes,long life bakery product,,,,,,,,,
meat,domestic eggs,,,,,,,,,
sausage,bottled beer,hygiene articles,,,,,,,,
pastry,napkins,,,,,,,,,
meat,vinegar,,,,,,,,,
onions,frozen vegetables,,,,,,,,,
citrus fruit,cake bar,,,,,,,,,
bottled water,chocolate,jam,,,,,,,,
beverages,sausage,white bread,bottled water,,,,,,,
frankfurter,sliced cheese,butter,,,,,,,,
canned vegetables,whole milk,,,,,,,,,
beef,yogurt,,,,,,,,,
yogurt,flour,,,,,,,,,
sausage,pip fruit,,,,,,,,,
frozen meals,napkins,,,,,,,,,
soda,rolls/buns,,,,,,,,,
bags,other vegetables,,,,,,,,,
soda,beef,bottled beer,soda,,,,,,,
make up remover,shopping bags,,,,,,,,,
condensed milk,onions,coffee,candy,,,,,,,
dessert,cream cheese ,waffles,,,,,,,,
canned beer,frozen meals,beef,canned beer,coffee,,,,,,
pastry,whole milk,other vegetables,rolls/buns,,,,,,,
bottled water,other vegetables,root vegetables,rolls/buns,soda,sugar,,,,,
meat,beef,yogurt,yogurt,,,,,,,
long life bakery product,citrus fruit,rolls/buns,,,,,,,,
hamburger meat,dessert,sliced cheese,,,,,,,,
dessert,brown bread,,,,,,,,,
root vegetables,newspapers,,,,,,,,,
whipped/sour cream,canned fish,,,,,,,,,
tropical fruit,sugar,,,,,,,,,
brown bread,yogurt,,,,,,,,,
beef,yogurt,,,,,,,,,
tropical fruit,onions,,,,,,,,,
citrus fruit,berries,,,,,,,,,
UHT-milk,curd,chocolate,,,,,,,,
sausage,root vegetables,bottled beer,butter,whole milk,newspapers,yogurt,,,,
sausage,newspapers,newspapers,,,,,,,,
canned beer,frankfurter,chicken,whole milk,softener,vinegar,,,,,
long life bakery product,waffles,,,,,,,,,
other vegetables,soda,,,,,,,,,
rolls/buns,sausage,curd,whole milk,butter milk,margarine,white bread,yogurt,,,
whipped/sour cream,yogurt,processed cheese,rolls/buns,,,,,,,
rolls/buns,specialty bar,,,,,,,,,
beef,bottled water,,,,,,,,,
white wine,bottled beer,,,,,,,,,
yogurt,misc. beverages,,,,,,,,,
chicken,berries,soda,,,,,,,,
whole milk,specialty chocolate,bottled beer,canned beer,rolls/buns,,,,,,
whole milk,yogurt,,,,,,,,,
rolls/buns,cat food,,,,,,,,,
cat food,domestic eggs,,,,,,,,,
fruit/vegetable juice,berries,,,,,,,,,
oil,shopping bags,,,,,,,,,
pork,salty snack,,,,,,,,,
coffee,citrus fruit,other vegetables,fruit/vegetable juice,,,,,,,
root vegetables,waffles,,,,,,,,,
chewing gum,condensed milk,,,,,,,,,
frankfurter,sparkling wine,,,,,,,,,
tropical fruit,soda,,,,,,,,,
domestic eggs,specialty cheese,,,,,,,,,
citrus fruit,pip fruit,,,,,,,,,
UHT-milk,coffee,,,,,,,,,
grapes,waffles,soda,,,,,,,,
potato products,pip fruit,,,,,,,,,
soda,pip fruit,sugar,brown bread,,,,,,,
shopping bags,curd,,,,,,,,,
rolls/buns,specialty cheese,domestic eggs,,,,,,,,
chicken,frozen vegetables,,,,,,,,,
rolls/buns,pastry,,,,,,,,,
other vegetables,whipped/sour cream,,,,,,,,,
flower (seeds),whipped/sour cream,specialty chocolate,bottled water,,,,,,,
pork,tropical fruit,dessert,meat spreads,whole milk,,,,,,
rolls/buns,jam,cake bar,,,,,,,,
root vegetables,snack products,,,,,,,,,
tropical fruit,other vegetables,,,,,,,,,
salty snack,other vegetables,shopping bags,,,,,,,,
citrus fruit,other vegetables,,,,,,,,,
pip fruit,hamburger meat,brown bread,cream cheese ,curd,,,,,,
tropical fruit,butter,,,,,,,,,
pip fruit,white wine,,,,,,,,,
hamburger meat,rolls/buns,,,,,,,,,
specialty chocolate,cat food,,,,,,,,,
tropical fruit,soda,yogurt,root vegetables,yogurt,domestic eggs,white wine,photo/film,,,
coffee,hamburger meat,brown bread,detergent,,,,,,,
butter,citrus fruit,brown bread,pork,shopping bags,hygiene articles,dessert,whole milk,,,
whole milk,frozen dessert,,,,,,,,,
citrus fruit,whipped/sour cream,,,,,,,,,
other vegetables,soda,,,,,,,,,
whole milk,whole milk,domestic eggs,,,,,,,,
pastry,rolls/buns,,,,,,,,,
whole milk,whole milk,,,,,,,,,
other vegetables,photo/film,,,,,,,,,
frankfurter,curd,coffee,,,,,,,,
other vegetables,whipped/sour cream,,,,,,,,,
citrus fruit,pickled vegetables,,,,,,,,,
citrus fruit,napkins,,,,,,,,,
root vegetables,other vegetables,,,,,,,,,
curd cheese,popcorn,,,,,,,,,
root vegetables,canned beer,whole milk,oil,,,,,,,
bottled beer,other vegetables,salty snack,,,,,,,,
frankfurter,whole milk,,,,,,,,,
chicken,other vegetables,frozen meals,,,,,,,,
sausage,white bread,,,,,,,,,
rolls/buns,hard cheese,,,,,,,,,
rolls/buns,frozen vegetables,frozen vegetables,,,,,,,,
soda,liver loaf,,,,,,,,,
rolls/buns,red/blush wine,,,,,,,,,
ham,beverages,margarine,,,,,,,,
citrus fruit,yogurt,,,,,,,,,
bottled water,rolls/buns,,,,,,,,,
pastry,roll products ,,,,,,,,,
coffee,berries,,,,,,,,,
yogurt,pip fruit,,,,,,,,,
ice cream,soda,,,,,,,,,
pork,whipped/sour cream,,,,,,,,,
chocolate,rolls/buns,,,,,,,,,
sausage,whole milk,,,,,,,,,
UHT-milk,soft cheese,,,,,,,,,
other vegetables,rolls/buns,soda,,,,,,,,
curd,bottled beer,hamburger meat,sweet spreads,,,,,,,
hamburger meat,coffee,yogurt,,,,,,,,
beef,curd,,,,,,,,,
pork,yogurt,napkins,,,,,,,,
whole milk,domestic eggs,yogurt,,,,,,,,
whipped/sour cream,oil,,,,,,,,,
whole milk,chocolate marshmallow,rolls/buns,,,,,,,,
liquor (appetizer),onions,,,,,,,,,
yogurt,bathroom cleaner,,,,,,,,,
UHT-milk,other vegetables,other vegetables,bottled water,,,,,,,
soda,frozen dessert,,,,,,,,,
whole milk,soda,,,,,,,,,
pip fruit,canned beer,soft cheese,soft cheese,canned fish,semi-finished bread,newspapers,napkins,,,
curd,detergent,,,,,,,,,
beef,curd cheese,,,,,,,,,
coffee,yogurt,,,,,,,,,
citrus fruit,pastry,salt,,,,,,,,
sausage,white wine,whole milk,beverages,semi-finished bread,napkins,,,,,
soda,dishes,,,,,,,,,
liquor (appetizer),long life bakery product,,,,,,,,,
packaged fruit/vegetables,yogurt,bottled beer,,,,,,,,
sausage,flower (seeds),,,,,,,,,
onions,curd,,,,,,,,,
soda,butter,,,,,,,,,
whole milk,domestic eggs,bottled beer,bottled beer,,,,,,,
bottled water,flour,,,,,,,,,
yogurt,onions,,,,,,,,,
detergent,other vegetables,detergent,,,,,,,,
soft cheese,soda,root vegetables,root vegetables,rolls/buns,root vegetables,margarine,shopping bags,,,
specialty chocolate,pastry,,,,,,,,,
beef,yogurt,,,,,,,,,
whole milk,soda,,,,,,,,,
sausage,soda,,,,,,,,,
rolls/buns,whipped/sour cream,,,,,,,,,
coffee,dessert,,,,,,,,,
pastry,yogurt,,,,,,,,,
sausage,rolls/buns,rice,,,,,,,,
whole milk,pastry,,,,,,,,,
brown bread,domestic eggs,,,,,,,,,
specialty chocolate,rolls/buns,,,,,,,,,
whole milk,other vegetables,,,,,,,,,
citrus fruit,frankfurter,yogurt,ice cream,,,,,,,
waffles,beverages,,,,,,,,,
shopping bags,pickled vegetables,,,,,,,,,
whole milk,sausage,yogurt,whole milk,butter,,,,,,
other vegetables,curd,,,,,,,,,
frankfurter,whole milk,,,,,,,,,
frankfurter,red/blush wine,rolls/buns,,,,,,,,
sliced cheese,sugar,,,,,,,,,
canned beer,other vegetables,,,,,,,,,
UHT-milk,beverages,,,,,,,,,
root vegetables,chocolate marshmallow,,,,,,,,,
other vegetables,margarine,,,,,,,,,
ice cream,bottled beer,,,,,,,,,
tropical fruit,frozen potato products,,,,,,,,,
beef,frozen meals,pastry,white wine,whipped/sour cream,,,,,,
whole milk,cleaner,,,,,,,,,
beef,salty snack,,,,,,,,,
whole milk,shopping bags,specialty bar,,,,,,,,
other vegetables,rolls/buns,,,,,,,,,
bottled water,other vegetables,,,,,,,,,
grapes,yogurt,condensed milk,,,,,,,,
fish,pickled vegetables,hard cheese,,,,,,,,
frankfurter,ice cream,,,,,,,,,
dessert,onions,,,,,,,,,
frankfurter,root vegetables,,,,,,,,,
pork,domestic eggs,,,,,,,,,
cat food,tropical fruit,whipped/sour cream,,,,,,,,
white bread,pip fruit,domestic eggs,,,,,,,,
hamburger meat,other vegetables,,,,,,,,,
other vegetables,soda,,,,,,,,,
bottled water,other vegetables,,,,,,,,,
whole milk,frozen vegetables,white wine,,,,,,,,
frozen vegetables,rolls/buns,curd cheese,,,,,,,,
curd,cream cheese ,nut snack,chocolate marshmallow,yogurt,female sanitary products,,,,,
frankfurter,bottled beer,domestic eggs,,,,,,,,
dessert,other vegetables,,,,,,,,,
soda,candles,rolls/buns,,,,,,,,
cat food,newspapers,,,,,,,,,
canned beer,bottled beer,,,,,,,,,
root vegetables,liquor,,,,,,,,,
salty snack,whole milk,,,,,,,,,
waffles,specialty bar,,,,,,,,,
rolls/buns,cereals,,,,,,,,,
seasonal products,whole milk,,,,,,,,,
pip fruit,fruit/vegetable juice,whipped/sour cream,soda,,,,,,,
soda,coffee,cling film/bags,,,,,,,,
other vegetables,frozen vegetables,,,,,,,,,
margarine,cream cheese ,misc. beverages,,,,,,,,
ice cream,grapes,,,,,,,,,
whole milk,whole milk,,,,,,,,,
domestic eggs,white bread,whipped/sour cream,,,,,,,,
frozen vegetables,misc. beverages,,,,,,,,,
citrus fruit,pickled vegetables,,,,,,,,,
oil,whipped/sour cream,,,,,,,,,
beef,other vegetables,,,,,,,,,
tropical fruit,chocolate,,,,,,,,,
frankfurter,ice cream,,,,,,,,,
onions,newspapers,newspapers,,,,,,,,
other vegetables,pip fruit,,,,,,,,,
soda,pork,curd,Instant food products,,,,,,,
rolls/buns,brown bread,rolls/buns,sliced cheese,,,,,,,
bottled water,other vegetables,,,,,,,,,
frankfurter,frozen meals,,,,,,,,,
cereals,soda,,,,,,,,,
newspapers,candy,,,,,,,,,
citrus fruit,specialty fat,,,,,,,,,
frozen meals,yogurt,rolls/buns,,,,,,,,
specialty bar,bottled water,,,,,,,,,
soda,sausage,root vegetables,pork,whole milk,vinegar,other vegetables,domestic eggs,shopping bags,,
rolls/buns,curd,,,,,,,,,
citrus fruit,pastry,,,,,,,,,
candy,domestic eggs,,,,,,,,,
sparkling wine,bottled water,,,,,,,,,
beef,UHT-milk,misc. beverages,,,,,,,,
butter,frozen dessert,whole milk,,,,,,,,
beef,chocolate,,,,,,,,,
root vegetables,ice cream,margarine,,,,,,,,
soda,root vegetables,whole milk,pastry,,,,,,,
hamburger meat,root vegetables,,,,,,,,,
pip fruit,whipped/sour cream,,,,,,,,,
tropical fruit,detergent,,,,,,,,,
long life bakery product,semi-finished bread,,,,,,,,,
cookware,spread cheese,,,,,,,,,
yogurt,hard cheese,other vegetables,rolls/buns,,,,,,,
other vegetables,domestic eggs,soap,pastry,,,,,,,
curd,other vegetables,shopping bags,,,,,,,,
chicken,nut snack,,,,,,,,,
condensed milk,pastry,,,,,,,,,
coffee,yogurt,,,,,,,,,
pickled vegetables,pastry,brown bread,sugar,,,,,,,
chicken,vinegar,,,,,,,,,
pork,whipped/sour cream,,,,,,,,,
frankfurter,yogurt,,,,,,,,,
male cosmetics,oil,,,,,,,,,
root vegetables,red/blush wine,,,,,,,,,
rolls/buns,pork,,,,,,,,,
rolls/buns,make up remover,,,,,,,,,
other vegetables,specialty chocolate,,,,,,,,,
root vegetables,flower (seeds),,,,,,,,,
margarine,soda,,,,,,,,,
soda,prosecco,canned fish,,,,,,,,
sausage,canned beer,frozen vegetables,detergent,,,,,,,
root vegetables,semi-finished bread,,,,,,,,,
brown bread,pet care,,,,,,,,,
pip fruit,other vegetables,,,,,,,,,
sparkling wine,softener,,,,,,,,,
beef,semi-finished bread,,,,,,,,,
chicken,hygiene articles,,,,,,,,,
coffee,rolls/buns,,,,,,,,,
pip fruit,frozen vegetables,butter milk,,,,,,,,
whole milk,condensed milk,,,,,,,,,
whole milk,UHT-milk,,,,,,,,,
